date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11 0:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,11,22,24,22,9,0,45,0,1013,22,10,40,4,mumbai
2018-12-11 1:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,11,21,24,21,5,0,45,0,1013,21,10,40,4,mumbai
2018-12-11 2:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,11,20,20,20,5,0,44,0,1013,20,10,39,4,mumbai
2018-12-11 3:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,11,19,19,19,9,0,43,0,1013,19,10,38,4,mumbai
2018-12-11 4:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,11,20,20,20,9,0,41,0,1014,20,10,38,4,mumbai
2018-12-11 5:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,11,20,20,20,10,0,38,0,1014,20,10,37,5,mumbai
2018-12-11 6:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,11,20,20,20,10,0,35,0,1015,20,10,37,5,mumbai
2018-12-11 7:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,11,21,24,21,10,0,33,0,1015,21,10,26,5,mumbai
2018-12-11 8:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,12,25,25,23,11,0,31,0,1015,23,10,14,6,mumbai
2018-12-11 9:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,12,27,27,26,11,0,28,0,1015,26,10,3,6,mumbai
2018-12-11 10:00:00,31,19,0,11,6,21,10:08 AM,9:32 PM,7:01 AM,6:02 PM,11,28,28,28,13,0,28,0,1014,28,10,115,7,mumbai
